# mapping_set_id: https://github.com/edithlaszny/vvo/vvo-mappings-v2-004
# mapping_set_version: 2-004
# license: https://creativecommons.org/licenses/by/4.0/
# creator_id: orcid:0009-0005-6549-9839
# curie_map:
#   VVO: "http://purl.obolibrary.org/obo/VVO_"
#   PO: "http://purl.obolibrary.org/obo/PO_"
#   BTO: "http://purl.obolibrary.org/obo/BTO_"
#   PATO: "http://purl.obolibrary.org/obo/PATO_"
#   GO: "http://purl.obolibrary.org/obo/GO_"
#   NCBITAXON: "http://purl.bioontology.org/ontology/NCBITAXON/"
#   semapv: "https://w3id.org/semapv/vocab/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
subject_id	predicate_id	object_id	match_type	confidence
VVO:0002556	skos:narrowMatch	PO:0020038	semapv:HumanCurated	0.95
VVO:0001513	skos:narrowMatch	PO:0020039	semapv:HumanCurated	0.95
VVO:0001459	skos:narrowMatch	PO:0020039	semapv:HumanCurated	0.95
VVO:0003102	skos:narrowMatch	PO:0000046	semapv:HumanCurated	0.95
VVO:0001610	skos:narrowMatch	PO:0000047	semapv:HumanCurated	0.95
VVO:0001460	skos:narrowMatch	PO:0025260	semapv:HumanCurated	0.95
VVO:0001731	skos:narrowMatch	PO:0020137	semapv:HumanCurated	0.95
VVO:0002252	skos:narrowMatch	PO:0020137	semapv:HumanCurated	0.95
VVO:0000464	skos:narrowMatch	PO:0020137	semapv:HumanCurated	0.95
VVO:0001506	skos:narrowMatch	PO:0020138	semapv:HumanCurated	0.95
VVO:0002250	skos:narrowMatch	PO:0020138	semapv:HumanCurated	0.95
VVO:0002557	skos:narrowMatch	PO:0020138	semapv:HumanCurated	0.95
VVO:0002978	skos:narrowMatch	PO:0020138	semapv:HumanCurated	0.95
VVO:0003137	skos:narrowMatch	PO:0000014	semapv:HumanCurated	0.95
VVO:0000961	skos:narrowMatch	PO:0000014	semapv:HumanCurated	0.95
VVO:0002966	skos:narrowMatch	PO:0000014	semapv:HumanCurated	0.95
VVO:0001523	skos:narrowMatch	PO:0020049	semapv:HumanCurated	0.95
VVO:0000123	skos:narrowMatch	PO:0020049	semapv:HumanCurated	0.95
VVO:0002959	skos:narrowMatch	PO:0020049	semapv:HumanCurated	0.95
VVO:0002156	skos:narrowMatch	PO:0020049	semapv:HumanCurated	0.95
VVO:0001494	skos:narrowMatch	PO:0020049	semapv:HumanCurated	0.95
VVO:0003103	skos:narrowMatch	PO:0020049	semapv:HumanCurated	0.95
